county,changes,none,party_affiliation_from,none_2,none_3,none_4,none_5,none_6,none_7,none_8,total_active_registration,none_9,none_10,none_11,none_12,none_13,none_14,none_15,activity,none_16,source_page,summary,new_registration_by_party,removals
,ADDRESS,NAME,DEM,REP,NLM,LIB,GRN,UNAF,OTH,TOTAL,DEM,REP,NLM,LIB,GRN,UNAF,OTH,TOTAL,"CONF
MAILING",INACTIVE,1,,,
ALLEGANY,444,242,40,29,2,3,1,63,19,157,10849,23052,62,272,54,8862,507,"43,658",0,3840,1,,,
ANNE ARUNDEL,4288,3858,543,340,16,37,11,760,114,"1,821",173216,129562,678,2538,455,105506,3782,"415,737",0,39679,1,,,
BALTIMORE CITY,5849,3886,597,184,7,21,9,497,96,"1,411",299106,29102,622,1263,701,63933,5084,"399,811",0,27158,1,,,
BALTIMORE CO.,6338,5649,871,336,18,40,18,893,216,"2,392",308041,139338,835,2710,675,119734,7042,"578,375",1,35333,1,,,
CALVERT,506,502,63,53,1,10,2,114,10,253,23522,28461,94,460,67,16572,644,"69,820",0,6112,1,,,
CAROLINE,167,114,11,11,1,0,0,34,7,64,5994,10891,40,129,25,4927,227,"22,233",0,1595,1,,,
CARROLL,885,804,103,98,2,10,3,145,29,390,33301,64209,136,845,132,30503,1199,"130,325",0,7925,1,,,
CECIL,422,494,75,72,4,8,2,109,26,296,19053,35255,127,485,72,17316,818,"73,126",1,5558,1,,,
CHARLES,1032,1024,187,69,4,3,4,167,25,459,75729,23318,155,454,103,25042,1099,"125,900",0,10806,1,,,
DORCHESTER,232,139,26,17,2,0,2,23,5,75,9574,9482,33,112,15,4334,250,"23,800",0,1106,1,,,
FREDERICK,1797,1649,230,134,7,15,4,344,30,764,78789,68925,266,1270,224,54268,1503,"205,245",0,16046,1,,,
GARRETT,145,112,15,7,0,0,0,27,2,51,3475,13859,22,111,20,3061,186,"20,734",0,1485,1,,,
HARFORD,1725,1437,187,119,9,19,8,314,44,700,64575,81530,277,1295,158,45260,2053,"195,148",0,14304,1,,,
HOWARD,2015,2472,315,171,9,17,5,475,71,"1,063",123368,48580,344,976,244,63155,2205,"238,872",1,15679,1,,,
KENT,80,51,12,11,0,0,0,12,2,37,5721,5393,20,73,16,2817,128,"14,168",0,875,1,,,
MONTGOMERY,6172,8665,"1,108",442,28,37,18,"1,300",192,"3,125",406004,98743,992,2486,783,173554,6179,"688,741",0,75072,1,,,
PR. GEORGE'S,5303,5223,"1,208",214,31,37,17,"1,156",237,"2,900",456887,39974,956,1645,612,100970,11697,"612,741",0,43727,1,,,
QUEEN ANNE'S,362,242,35,23,0,3,0,77,10,148,11246,20442,52,238,40,8965,332,"41,315",0,2029,1,,,
ST. MARY'S,626,422,66,47,0,9,2,130,17,271,24788,32618,95,513,64,18129,747,"76,954",0,8629,1,,,
SOMERSET,116,57,19,6,0,1,0,15,1,42,5365,6256,18,76,16,2558,154,"14,443",0,608,1,,,
TALBOT,278,201,26,23,0,0,1,40,7,97,10562,11652,37,175,24,6022,243,"28,715",0,2082,1,,,
